,Parameters,RawSewage,1:1_Dilution,1:1_Control,1:3_Dilution,1:3_Control,1:7_Dilution,1:7_Control
0,pH,-9.950558434881556,-23.659205973651755,-8.92430010990282,-19.77744246554427,-3.700960464698544,-22.245491219859804,-5.006307780862295
1,Conductivity,3.223147385712609,4.675719664854845,-3.8103334300050204,15.950263869653153,-8.957236302294252,23.216482108527515,-4.543134318541499
2,TDS,-3.788292177123451,7.753923134015777,-1.1830131912295971,16.95059224535946,-6.18312212390258,24.711986941141877,-10.590688774642212
3,Salinity,5.1997760595147176,12.709071591362841,-4.511706439515102,21.20150295736724,-0.5513954655680808,26.063581869660002,-37.95875633969814
4,DO,-228.14590978269828,-90.58438080039312,18.439389235966296,-55.62166137838326,18.571718895716646,-36.584630935511186,25.896663496976963
5,Nitrate nitrogen,9.768687058904627,27.644259084766425,6.085828744966593,49.40152564035324,8.300678106245835,83.08783112865109,19.402985086268377
6,Ammonical nitrogen,7.817668408634712,83.95487778384955,-4.83587592409038,85.48298206244877,-114.05478506194511,98.47805556234962,-17.898034014315954
7,Total phosphorus,40.2622077196759,60.46538016004605,5.979609820210827,70.52042621770693,33.49408038722531,51.92713917706831,-2.3103154026859247
8,Ortho phosphorus,26.0134298973435,84.71662635563332,-13.246690646806469,89.20433248444256,-11.064806979370708,71.47768420724388,-15.386643963210458
9,Total Hardness,5.306341946811742,18.87565131138702,-0.20721377227693036,25.84777505031908,5.987966755528838,31.10474884032278,9.684538079620692
10,Calcium Hardness,7.730973509167269,27.629358469310798,1.0824232153082414,37.090775952009295,-4.290889700287588,41.29507912748397,-11.893180306729786
